topic,question,option_a,option_b,option_c,option_d,correct_answer,difficulty
Enviorment,"Consider the following statements:
1. Climate and Clean Air Coalition (CCA","to Reduce Short Lived Climate Pollutants is a
unique initiative of G20 group of countries.
2. The CCAC focuses on methane, black carbon and hydrofluorocarbons.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,b,medium
Enviorment,"If you want to see gharials in their natural habitat, which one of the following is the
best place to visit?",Bhitarkanika Mangroves,Chambal River,Pulicat Lake,Deepor Beel,b,easy
Enviorment,The term ‘M-STrIPES’ is sometimes seen in the news in the context of,Captive breeding of Wild Fauna,Maintenance of Tiger Reserves,Indigenous Satellite Navigation System,Security of National Highways,b,easy
Enviorment,"In India, if a species of tortoise is declared protected under Schedule I of the Wildlife
Protection) Act, 1972, what does it imply?",It enjoys the same level of protection as the tiger.,"It no longer exists in the wild, a few individuals are under captive protection; and not it is
impossible to prevent its extinction.",It is endemic to a particular region of India.,Both,a,easy
Enviorment,"Recently there was a proposal to translocate some of the lions from their habitat in
Gujarat to which one of the following sites?",Corbett National Park,Kuno Palpur Wildlife Sanctuary,Mudumalai Wildlife Sanctuary,Sariska National Park,b,easy
Enviorment,"The term ‘Domestic Content Requirement’ is sometimes seen in the news with
reference to",Developing solar power production in our country,Granting licenses to foreign T.V. channels in our country,Exporting our food products to other countries,Permitting foreign educational institutions to set up their campuses in our country,a,easy
Enviorment,"According to the Wildlife (Protection) Act, 1972, which of the following animals
cannot be hunted by any person except under some provisions provided by law?
1. Gharial
2. Indian wild ass
3. Wild buffalo
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",d,hard
Enviorment,"From the ecological point of view, which one of the following assumes importance in
being a good link between the Eastern Ghats and the Western Ghats?",Sathyamangalam Tiger Reserve,Nallamala Forest,Nagarhole National Park,Seshachalam Biosphere Reserve,a,easy
Enviorment,"Consider the following statements in respect of Trade Related Analysis of Fauna and
Flora in Commerce (TRAFFI",":
1. TRAFFIC is a bureau under the United Nations Environment Programme (UNEP).
2. The mission of TRAFFIC is to ensure that trade in wild plants and animals is not a threat
to the conservation of nature.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,b,medium
Enviorment,"In the context of mitigating the impending global warming due to anthropogenic
emissions of carbon dioxide, which of the following can be potential sites for carbon
sequestration?
1. Abandoned and uneconomic coal seams
2. Depleted oil and gas reservoirs
3. Subterranean deep saline formations
Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",d,hard
Enviorment,"The term ‘Intended Nationally Determined Contributions’ is sometimes seen in the
news in the context of","pledges made by the European countries to rehabilitate refugees from the war-affected
Middle East",plan of action outlined by the countries of the world to combat climate change,"capital contributed by the member countries in the establishment of Asian Infrastructure
Investment Bank","plan of action outlined by the countries of the world regarding Sustainable Development
Goals",b,easy
Enviorment,"What is/are the importance/ importances of the ‘United Nations Convention to Combat
Desertification’?
1. It aims to promote effective action through innovative national programmes and
supportive international partnerships
2. It has a special/particular focus on South Asia and North Africa regions, and its
Secretariat facilitates the allocation of major portions of financial resources to these
regions.
3. It is committed to a bottom-up approach, encouraging the participation of local people in
combating desertification.
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,"In which of the following regions of India are you most likely to come across the ‘Great
Indian Hornbill’ in its natural habitat?",Sand deserts of northwest India,Higher Himalayas of Jammu and Kashmir,Salt marshes of western Gujarat,Western Ghats,d,easy
Enviorment,"Which of the following are the key features of ‘National Ganga River Basin Authority
NGRB","?
1. River basin is the unit of planning and management.
2. It spearheads the river conservation efforts at the national level.
3. One of the Chief Ministers of the States through which the Ganga flows becomes the
Chairman of NGRBA on rotation basis.
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,1 and 3 only,a,easy
Enviorment,"Consider the following pairs:
SI. No. Terms sometimes seen in the news Their origin
1. Annex-I Countries : Cartagena Protocol
2. Certified Emissions Reductions : Nagoya Protocol
3. Clean Development Mechanisms : Kyoto Protocol
Which of the pairs given above is/are correctly matched?",1 and 2 only,2 and 3 only,3 only,"1, 2 and 3",c,hard
Enviorment,"Which of the following best describes/ describe the aim of the ‘Green India Mission’ of
the Government of India?
1. Incorporating environmental benefits and costs into the Union and State Budgets
thereby implementing the ‘green accounting’
2. Launching the second green revolution to enhance agricultural output so as to ensure
food security to one and all in the future
3. Restoring and enhancing forest cover and responding to climate change by a
combination of adaptation and mitigation measures
Select the correct answer using the code given below:",1 only,2 and 3 only,3 only,"1, 2 and 3",c,hard
Enviorment,‘Net metering’ is sometimes seen in the news in the context of promoting the,production and use of solar energy by the households/consumers,use of piped natural gas in the kitchens of households,installation of CNG kits in motor-cars,installation of water meters in urban households,a,easy
Enviorment,"What is/are unique about ‘Kharai camel’, a breed found in India?
1. It is capable of swimming up to three kilometers in seawater.
2. It survives by grazing on mangroves.
3. It lives in the wild and cannot be domesticated.
Select the correct answer using the code given below:",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",a,hard
Enviorment,"Recently, our scientists have discovered a new and distinct species of banana plant
which attains a height of about 11 meters and has orange-coloured fruit pulp. In which part
of India has it been discovered?",Andaman Islands,Anaimalai Forests,Maikala Hills,Tropical rain forests of northeast,a,medium
Enviorment,"With reference to an initiative called ‘The Economics of Ecosystems and Biodiversity
TEE","’, which of the following statements is/are correct?
1. It is an initiative hosted by UNEP, IMF and World Economic Forum.
2. It is a global initiative that focuses on drawing attention to the economic benefits of
biodiversity.
3. It presents an approach that can help decision makers recognize, demonstrate and
capture the value of ecosystems and biodiversity.
Select the correct answer using the code given below.",1 and 2 only,3 only,2 and 3 only,c,easy
Enviorment,"With reference to ‘Red Sanders’, sometimes seen in the news, consider the following
statements:
1. It is a tree species found in a part of South India.
2. It is one of the most important trees in the tropical rainforest areas of South India.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,hard
Enviorment,"Which of the following statements is/are correct?
Proper design and effective implementation of UN-REDD+ Programme can significantly
contribute to
1. protection of biodiversity
2. resilience of forest ecosystems
3. poverty reduction
Select the correct answer using the code given below.",1 and 2 only,3 only,2 and 3 only,"1, 2 and 3",d,hard
Enviorment,What is the ‘Greenhouse Gas Protocol’?,"It is an international accounting tool for government and business leaders to
understand, quantify and manage greenhouse gas emissions.","It is an initiative of the United Nations to offer financial incentives to developing
countries to reduce greenhouse gas emissions and to adopt eco friendly technologies.","It is an intergovernmental agreement ratified by all the member countries of the United
Nations to reduce greenhouse gas emissions to specified levels by the year 2022.",It is one of the multilateral REDD+ initiatives hosted by the World Bank.,a,easy
Enviorment,"With reference to ‘Agenda 21’, sometimes seen in the news, consider the following
statements:
1. It is a global action plan for sustainable development.
2. It originated in the World Summit on Sustainable Development held in Johannesburg in
2002.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,hard
Enviorment,"‘Gadgil Committee Report’ and ‘Kasturirangan Committee Report’, sometimes seen
in the news, are related to",constitutional reforms,Ganga Action Plan,linking of rivers,protection of Western Ghats,d,easy
Enviorment,"Consider the following statements:
1. The International Solar Alliance was launched at the United Nations Climate Change
Conference in 2015.
2. The Alliance includes all the member countries of the United Nations.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,hard
Enviorment,"In the cities of our country, which among the following atmospheric gases are
normally considered in calculating the value of Air Quality Index?
1. Carbon dioxide
2. Carbon monoxide
3. Nitrogen dioxide
4. Sulfur dioxide
5. Methane
Select the correct answer using the code given below.","1, 2 and 3 only","2, 3 and 4 only","1, 4 and 5 only","1, 2, 3, 4 and 5",b,hard
Enviorment,"Recently, for the first time in our country, which of the following States has declared a
particular butterfly as ‘State Butterfly’?",Arunachal Pradesh,Himachal Pradesh,Karnataka,Maharashtra,d,easy
Enviorment,"With reference to the Agreement at the UNFCCC Meeting in Paris in 2015, which of
the following statements is/are correct?
1. The Agreement was signed by all the member countries of the UN and it will go into
effect in 2017.
2. The Agreement aims to limit the greenhouse gas emissions so that the rise in average
global temperature by the end of this century does not exceed 2°C or even 1.5°C above
pre-industrial levels.
3. Developed countries acknowledged their historical responsibility in global warming and
committed to donate $ 1000 billion a year from 2020 to help developing countries to cope
with climate change.
Select the correct answer using the code given below.",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",a,hard
Enviorment,"Consider the following statements:
1. The Sustainable Development Goals were first proposed in 1972 by a global think tank
called the ‘Club of Rome’.
2. The Sustainable Development Goals have to be achieved by 2030.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,hard
Enviorment,"Which of the following National Parks is unique in being a swamp with floating
vegetation that supports a rich biodiversity?",Bhitarkanika National Park,Keibul Lamjao National Park,Keoladeo Ghana National Park,Sultanpur National Park,b,easy
Enviorment,"With reference to the International Union for Conservation of Nature and Natural
Resource (IUCN) and the Convention of International Trade in Endangered Species of
Wild Fauna and Flora (CITES), which of the following statements is/are correct ?
1. IUCN is an organ of the United Nations and CITES is an international agreement
between governments.
2. IUCN runs thousands of field projects around the world to better manage natural
environments.
3. CITES is legally binding on the States that have joined it, but this Conventional does not
take the place of national laws.
Select the correct answer using the codes given below.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",b,hard
Enviorment,"With reference to 'fly ash' produced by the power plants using coal as fuel, which of
the following statements is/are correct?
1. Fly ash can be used in the production of bricks for building construction.
2. Fly ash can be used as a replacement for some of the Portland cement contents of
concrete.
3. Fly ash is made up of silicon dioxide and calcium oxide only, and does not contain any
toxic elements.
Select the correct answer using the codes given below.",1 and 2,2 only,1 and 3,3 only,a,hard
Enviorment,"With reference to 'dugong', a mammal found in India, which of the following
statements is/are correct ?
1. It is a herbivorous marine animal.
2. It is found along the entire coast of India.
3. It is given legal protection under Schedule I of the Wildlife (Protection) Act, 1972.
Select the correct answer using the codes given below.",1 and 2,2 only,1 and 3,3 only,c,hard
Enviorment,Which one of the following is the national aquatic animal of India?,Saltwater crocodile,Olive ridley turtle,Gangetic dolphin,Gharial,c,easy
Enviorment,"Which one of the following is associated with the issue of control and phasing out of
the use of ozone-depleting substances?",Bretton Woods Conference,Montreal Protocol,Kyoto Protocol,Nagoya Protocol,b,easy
Enviorment,"What is Rio+20 Conference, often mentioned in the news?",It is the United Nations Conference on Sustainable Development,It is a Ministerial Meeting of the World Trade Organization,It is a Conference of the Inter-governmental Panel on Climate Change,It is a Conference of the Member Countries of the Convention on Biological Diversity,a,easy
Enviorment,"Which of the statements regarding ‘Green Climate Fund’ is/are correct?
1. It is intended to assist the developing countries in adaption and mitigation practices to
counter climate change.
2. It is founded under the aegis of UNEP, OECD, Asian Development Bank and World
Bank.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,medium
Enviorment,"Indira Gandhi Prize for Peace, Disarmament and Development for 2014 was given to
which one of the following?",Bhabha Atomic Research Centre,Indian Institute of Science,Indian Space Research Organization,Tata Institute of Fundamental Research,c,easy
Enviorment,"Which one of the following National Parks has a climate that varies from tropical to
subtropical, temperate and arctic?",Khangchendzonga National park,Nandadevi National Park,Neora Valley National Park,Namdapha National park,d,easy
Enviorment,"Which one of the following National Parks has a climate that varies from tropical to
subtropical, temperate and arctic?",Khangchendzonga National park,Nandadevi National Park,Neora Valley National Park,Namdapha National park,d,easy
Enviorment,The Genetic Engineering Appraisal Committee is constituted under the,"Food Safety and Standards Act, 2006","Geographical Indications of Goods (Registration and Protection) Act, 1999","Environment (Protection) Act, 1986","Wildlife (Protection) Act, 1972",c,easy
Enviorment,"With reference to ‘Indian Ocean Rim Association for Regional Cooperation
IOR-AR","’, consider the following statements :
1. It was established very recently in response to incidents of piracy and accidents of oil
spills.
2. It is an alliance meant for maritime security only.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,d,easy
Enviorment,"With reference to ‘Forest Carbon Partnership Facility’, which of the following
statements is/are correct?
1. It is a global partnership of governments, businesses, civil society and indigenous
peoples.
2. It provides financial aid to universities, individual scientists and institutions involved in
scientific forestry research to develop eco-friendly and climate adaptation technologies for
sustainable forest management.
3. It assists the countries in their ‘REDD+ (Reducing Emissions from Deforestation and
Forest Degradation)’ efforts by providing them with financial and technical assistance.
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,"With reference to an organization known as 'BirdLife International', which of the
following statements is/are correct?
1. It is a Global Partnership of Conservation Organizations.
2. The concept of 'biodiversity hotspots' originated from this organization.
3. It identifies the sites known/referred to as 'Important Bird and Biodiversity Areas'.
Select the correct answer using the code given below.",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,Which one of the following is the best description of the term 'ecosystem'?,A community of organisms interacting with one another,That part of the Earth which is inhabited by living organisms,A community of organisms together with the environment in which they live,The flora and fauna of a geographical area,c,easy
Enviorment,"With reference to bio-toilets used by the Indian Railways, consider the following
statements:
1. The decomposition of human waste in the bio-toilets is initiated by a fungal inoculum.
2. Ammonia and water vapour are the only end products in this decomposition which are
released into the atmosphere.
Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,hard
Enviorment,"If a wetland of international importance is brought under the 'Montreux Record', what
does it imply?","Changes in ecological character have occurred, are occurring or are likely to occur in
the wetland as a result of human interference.","The country in which the wetland is located should enact a law to prohibit any human
activity within five kilometers from the edge of the wetland.","The survival of the wetland depends on the cultural practices and traditions of certain
communities living in its vicinity and therefore the cultural diversity therein should not be
destroyed.",It is given the status of 'World Heritage Site'.,a,easy
Enviorment,"Consider the following pairs:
Sl.
No. Programme/Project Ministry
1. Drought-Prone Area Programme : Ministry of Agriculture
2. Desert Development Programme : Ministry of Environment and Forests
3. National Watershed Development Project for Rainfed Areas : Ministry of Rural
Development
Which of the above pairs is/are correctly matched?",1 and 2 only,3 only,"1, 2 and 3",None,d,hard
Enviorment,"With reference to the Bombay Natural History Society (BNHS), consider the following
statements:
1. It is an autonomous organization under the Ministry of Environment and Forests.
2. It strives to conserve nature through action-based research, education and public
awareness.
3. It organizes and conducts nature trails and camps for the general public.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",c,hard
Enviorment,"With reference to 'Global Environment Facility', which of the following statements
is/are correct?","It serves as a financial mechanism for 'Convention on Biological Diversity' and 'United
Nations Framework Convention on Climate Change'.",It undertakes scientific research on environmental issues at the global level.,"It is an agency under OECD to facilitate the transfer of technology and funds to
underdeveloped countries with the specific aim to protect their environment.",Both,a,easy
Enviorment,"With reference to technology for solar power production, consider the following
statements:
1. 'Photovoltaics' is a technology that generates electricity by direct conversion of light into
electricity, while 'Solar Thermal' is a technology that utilizes the Sun's rays to generate
heat which is further used in the electricity generation process.
2. Photovoltaics generates Alternating Current (A",", while Solar Thermal generates Direct
Current(D",".
3. India has a manufacturing base for Solar Thermal technology, but not for photovoltaics.
Which of the statements given above is/are correct?",1 only,2 and 3 only,a,hard
Enviorment,"Consider the following pairs:
Sl.
No. Protected area State
1. Dampa Tiger Reserve : Mizoram
2. Gumti Wildlife Sanctuary: Sikkim
3. Saramati Peak : Nagaland
Which of the above pairs is/are correctly matched?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,"With reference to a conservation organization called 'Wetlands International', which of
the following statements is/are correct?
1. It is an intergovernmental organization formed by the countries which are signatories to
Ramsar Convention.
2. It works at the field level to develop and mobilize knowledge and use practical
experience to advocate for better policies.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,b,medium
Enviorment,"Other than poaching, what are the possible reasons for the decline in the population of
Ganges River Dolphins?
1. Construction of dams and barrages on rivers
2. Increase in the population of crocodiles in rivers.
3. Getting trapped in fishing nets accidentally
4. Use of synthetic fertilizers and other agricultural chemicals in crop fields in the vicinity of
rivers
Select the correct answer using the code given below:",1 and 2 only,2 and 3 only,"1, 3 and 4 only","1, 2, 3 and 4",c,hard
Enviorment,"Brominated flame retardants are used in many household products like mattresses
and upholstery. Why is there some concern about their use?
1. They are highly resistant to degradation in the environment.
2. They are able to accumulate in humans and animals.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,c,medium
Enviorment,"Consider the following:
1. Bats
2. Bears
3. Rodents
The phenomenon of hibernation can be observed in which of the above kinds of animals?",1 and 2 only,2 only,"1, 2 and 3",Hibernation cannot be observed in any of the above,c,hard
Enviorment,"Which of the following adds/add carbon dioxide to the carbon cycle on the planet
Earth?
1. Volcanic action
2. Respiration
3. Photosynthesis
4. Decay of organic matter
Select the correct answer using the code given below:",1 and 3 only,2 only,"1, 2 and 4 only","1, 2, 3 and 4",c,hard
Enviorment,"If you walk through the countryside, you are likely to see some birds stalking
alongside the cattle to seize the insects disturbed by their movement through grasses.
Which one of the following is/are such bird/birds?
1. Painted Stork
2. Common Myna
3. Black-necked Crane
Select the correct answer using the code given below:",1 and 2,2 only,2 and 3,3 only,b,hard
Enviorment,"Which of the following are some important pollutants released by the steel industry in
India?
1. Oxides of sulphur
2. Oxide of nitrogen
3. Carbon monoxide
4. Carbon dioxide
Select the correct answer using the code given below:","1, 3 and 4 only",2 and 3 only,1 and 4 only,"1, 2, 3 and 4",d,hard
Enviorment,"Which of the following have coral reefs?
1. Andaman and Nicobar Islands
2. Gulf of Kachchh
3. Gulf of Mannar
4. Sunderbans
Select the correct answer using the code given below:","1, 2 and 3 only",2 and 4 only,1 and 3 only,"1, 2, 3 and 4",a,hard
Enviorment,"Consider the following pairs:
No. Wetland Confluence of Rivers
1. Harike Wetlands : Confluence of Beas and Satluj/ Sutlej
2. Keoladeo Ghana National Park : Confluence of Banas and Chambal
3. Kolleru Lake : Confluence of Musi and Krishna
Which of the above pairs is/are correctly matched?",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",a,hard
Enviorment,"The most important strategy for the conservation of biodiversity together with
traditional human life is the establishment of",biosphere reserves,botanical gardens,national parks,wildlife sanctuaries,a,easy
Enviorment,"The scientific view is that the increase in global temperature should not exceed 2°
Celsius above pre-industrial level. If the global temperature increases beyond 3°C above
the pre-industrial level, what can be its possible impact/impacts on the world?
1. Terrestrial biosphere tends toward a net carbon source.
2. Widespread coral mortality will occur.
3. All the global wetlands will permanently disappear.
4. Cultivation of cereals will not be possible anywhere in the world.
Select the correct answer using the code given below:",1 only,1 and 2 only,"2, 3 and 4 only","1, 2, 3 and 4",b,hard
Enviorment,"What are the benefits of implementing the ‘Integrated Watershed Development
Programme?
1. Prevention of soil runoff
2. Linking the country’s perennial rivers with seasonal rivers
3. Rainwater harvesting and recharge of groundwater Table
4. Regeneration of natural vegetation
Select the correct answer using the code given below:",1 and 2 only,"2, 3 and 4 only","1, 3 and 4 only","1, 2, 3 and 4",c,hard
Enviorment,"With reference to Neem tree, consider the following statements:
1. Neem oil can be used as a pesticide to control the proliferation of some species of
insects and mites.
2. Neem seeds are used in the manufacture of biofuels and hospital detergents.
3. Neem oil has applications in pharmaceutical industry.
Which of the statements given above is/are correct?",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,Which one of the following is the process involved in photosynthesis?,Potential energy is released to form free energy.,Free energy is converted into potential energy and stored.,Food is oxidized to release carbon dioxide and water.,"Oxygen is taken, and carbon dioxide and water vapour are given out.",b,easy
Enviorment,"Which of the following statements is/are correct regarding the vegetative propagation
of plants?
1. Vegetative propagation produces a clonal population.
2. Vegetative propagation helps in eliminating the virus.
3. Vegetative propagation can be practiced most of the year.
Select the correct answer using the code given below:",1 only,2 and 3 only,1 and 3 only,"1, 2 and 3",c,hard
Enviorment,"Consider the following techniques/phenomena:
1. Budding and grafting in fruit plants
2. Cytoplasmic male sterility
3. Gene silencing
Which of the above is/are used to create transgenic crops?",1 only,2 and 3 only,1 and 3 only,None,b,hard
Enviorment,"Among the following organisms, which one does not belong to the class of other
three?",Crab,Mite,Scorpion,Spider,a,easy
Enviorment,"Consider the following international agreements:
1. The International Treaty on Plant Genetic Resources for Food and Agriculture
2. The United Nations Convention to Combat Desertification
3. The World Heritage Convention
Which of the above has/have a bearing on the biodiversity?",1 and 2 only,3 only,1 and 3 only,"1, 2 and 3",d,hard
Enviorment,"Consider the following statements regarding 'Earth Hour':
1. It is an initiative of UNEP and UNESCO.
2. It is a movement in which the participants switch off the lights for one hour on a certain
day every year.
3. It is a movement to raise the awareness about the climate change and the need to save
the planet.
Which of the statements given above is/are correct?",1 and 3 only,2 only,2 and 3 only,"1, 2 and 3",c,hard
Enviorment,Which one of the following is the correct sequence of a food chain?,Diatoms-Crustaceans-Herrings,Crustaceans-Diatoms-Herrings,Diatoms-Herrings-Crustaceans,Crustaceans-Herrings-Diatoms,a,easy
Enviorment,"With reference to 'Eco-Sensitive Zones', which of the following statements is/are
correct?
1. Eco-Sensitive Zones are the areas that are declared under the (Wildlife Protection) Act,
of 1972.
2. The purpose of the declaration of Eco-Sensitive Zones is to prohibit all kinds of human
activities in those zones except agriculture.
Select the correct answer using the code given below:",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d,hard
Enviorment,"Consider the following statements:
1. Animal Welfare Board of India is established under the (Environment Protection) Act,
1986.
2. National Tiger Conservation Authority is a statutory body.
3. National Ganga River Basin Authority is chaired by the Prime Minister.
Which of the statements given above is/are correct?",1 only,2 and 3 only,2 only,"1, 2 and 3",b,hard
